theta,model,initial,path,negative_endpoint,crossed_zero,committed_switch,crossing_return,unresolved_transition,first_switch_time,censored,endpoint_mz
0.11,RFM22_64,1,7,1,1,0,0,1,,1,-0.2474726414680481
0.11,RFM22_64,1,8,0,0,0,0,1,,1,0.454010329246521
0.11,RFM22_64,1,9,0,0,0,0,1,,1,0.2764885160699487
0.11,RFM22_64,1,10,1,1,0,0,1,,1,-0.22820940360426903
0.11,RFM22_64,1,11,1,1,0,0,1,,1,-0.10684034526348114
0.11,RFM22_64,1,12,0,0,0,0,1,,1,0.3469475957751274
0.11,RFM22_64,1,13,0,1,0,1,1,,1,0.3450398188829422
0.11,RFM22_64,1,14,0,0,0,0,1,,1,0.30286883533000947
0.11,RFM22_64,1,15,0,1,0,1,1,,1,0.4143098357319832
0.11,RFM22_64,2,0,0,0,0,0,0,,1,0.6536748433113098
0.11,RFM22_64,2,1,0,1,0,1,0,,1,0.7105509959161281
0.11,RFM22_64,2,2,0,0,0,0,1,,1,0.47095962673425673
0.11,RFM22_64,2,3,0,1,0,1,0,,1,0.6865616612881422
0.11,RFM22_64,2,4,0,1,0,1,1,,1,0.2690098314732313
0.11,RFM22_64,2,5,0,1,0,1,1,,1,0.26753917813301087
0.11,RFM22_64,2,6,0,0,0,0,1,,1,0.39879127122461794
0.11,RFM22_64,2,7,0,1,0,1,1,,1,0.33026094488799573
0.11,RFM22_64,2,8,0,0,0,0,0,,1,0.6462872430682183
0.11,RFM22_64,2,9,0,0,0,0,1,,1,0.1623241800069809
0.11,RFM22_64,2,10,0,1,0,0,1,,1,0.4330371916294098
0.11,RFM22_64,2,11,0,0,0,0,0,,1,0.8030191807448864
0.11,RFM22_64,2,12,0,1,0,1,1,,1,0.44813592251623047
0.11,RFM22_64,2,13,0,0,0,0,1,,1,0.44906909465789796
0.11,RFM22_64,2,14,0,1,0,1,0,,1,0.6775158596038818
0.11,RFM22_64,2,15,0,0,0,0,1,,1,0.5016239178180695
0.11,RFM22_64,3,0,0,0,0,0,1,,1,0.43590877294540403
0.11,RFM22_64,3,1,0,1,0,1,0,,1,0.7100405728816986
0.11,RFM22_64,3,2,0,1,0,1,1,,1,0.5930303683876992
0.11,RFM22_64,3,3,0,1,0,1,1,,1,0.5811242607235908
0.11,RFM22_64,3,4,0,1,0,1,1,,1,0.44704083651304244
0.11,RFM22_64,3,5,0,1,0,1,1,,1,0.3993832939863205
0.11,RFM22_64,3,6,0,0,0,0,1,,1,0.50861870393157
0.11,RFM22_64,3,7,0,0,0,0,1,,1,0.3414173773676157
0.11,RFM22_64,3,8,0,0,0,0,1,,1,0.42703509667888284
0.11,RFM22_64,3,9,0,0,0,0,1,,1,0.5151521679759026
0.11,RFM22_64,3,10,0,1,0,1,1,,1,0.44034365750849247
0.11,RFM22_64,3,11,0,0,0,0,1,,1,0.228939670920372
0.11,RFM22_64,3,12,0,0,0,0,1,,1,0.4308666932582855
0.11,RFM22_64,3,13,0,1,0,0,1,,1,0.09761246532201767
0.11,RFM22_64,3,14,0,1,0,1,1,,1,0.25484121829271317
0.11,RFM22_64,3,15,0,1,0,1,1,,1,0.5737871766090393
0.11,RFM33,0,0,0,0,0,0,0,,1,0.6059567964076996
0.11,RFM33,0,1,0,0,0,0,1,,1,0.29293707996606827
0.11,RFM33,0,2,0,1,0,1,1,,1,0.19866885989904404
